hero,h_type,rel_ct,Comic,Hero,p_rel_ct,density
BLACKBODY,Hero,6,6,1,6,1.0
BLACKHEART,Villain,1116,337,156,52572,0.02122803013010728
BLACKJACK/,Villain,13,9,5,45,0.28888888888888886
BLACKOUT II/,Villain,924,347,147,51009,0.018114450391107453
BLACKOUT/MARCUS DANI,Villain,3531,997,370,368890,0.009571959120605059
"BLACKSHEAR, JONAS",Hero,103,39,29,1131,0.09106984969053934
BLACKWELL,Hero,3,3,1,3,1.0
BLACKWING II/,Hero,6,2,3,6,1.0
BLACKWING/JOSEPH MAN,Hero,2995,976,359,350384,0.008547764738115896
"BLACKWOOD, JENNY",Hero,6,4,3,12,0.5
BLACKWULF,Hero,866,290,145,42050,0.020594530321046373
BLADE/,Hero,1013,416,149,61984,0.016342927207021168
"BLAIR, CALEY",Hero,2,2,1,2,1.0
"BLAIRE, CARTER",Hero,3637,1095,384,420480,0.008649638508371384
"BLAKE, BECKY",Hero,3607,1353,380,514140,0.0070155988641226125
"BLAKE, DR. DONALD",Hero,2,2,1,2,1.0
"BLAKE, DR. DONALD (C",Hero,287,113,67,7571,0.037907806102232204
"BLAKE, EMILY",Hero,743,248,122,30256,0.02455711263881544
"BLAKE, KENT",Hero,1916,675,202,136350,0.014052071873854053
"BLANDING, ANDREW",Hero,147,41,43,1763,0.08338060124787294
"BLANDING, HALEY",Hero,147,41,43,1763,0.08338060124787294
"BLANDING, MRS.",Hero,147,41,43,1763,0.08338060124787294
BLAQUESMITH,Hero,3990,1326,432,572832,0.006965392994804759
BLARE/,Hero,1,1,1,1,1.0
BLASTAAR,Villain,2587,798,300,239400,0.010806182121971595
BLASTING CAP/,Villain,1,1,1,1,1.0
"BLAZE, CRAIG",Hero,50,25,12,300,0.16666666666666666
"BLAZE, EMMA",Hero,50,25,12,300,0.16666666666666666
"BLAZE, ROXANNE SIMPS",Hero,2069,769,339,260691,0.007936599268866206
BLAZING SKULL/MARK T,Hero,173,71,42,2982,0.05801475519785379
"BLESSING, MORGANA",Hero,3401,1340,355,475700,0.007149463947866302
BLIND AL/ALTHEA,Hero,468,179,97,17363,0.02695386741922479
BLINDSIDE II/BOBBI C,Hero,998,265,181,47965,0.020806838319608046
"BLINK/FERGUSON, CLAR",Hero,298,103,65,6695,0.044510828976848396
BLISS,Hero,1,1,1,1,1.0
"BLISS, BONNIE",Hero,2,2,1,2,1.0
"BLISS, MISS",Hero,28,6,9,54,0.5185185185185185
BLITZIANA,Hero,407,164,82,13448,0.030264723378941108
BLITZKRIEG/,Villain,4599,1611,442,712062,0.006458707247402614
BLIZZARD II/DONALD G,Villain,1386,362,209,75658,0.01831927886013376
BLIZZARD/PROF. GREGO,Villain,3752,1219,372,453468,0.008274012719750897
BLOB/FRED J. DUKES,Villain,9397,3490,615,2146350,0.0043781303142544315
BLOCKADE/DEXTER PARI,Hero,5,5,1,5,1.0
BLOCKBUSTER II,Villain,1,1,1,1,1.0
BLOCKBUSTER III/MICH,Villain,2331,672,312,209664,0.011117788461538462
BLOCKBUSTER/,Villain,60,22,25,550,0.10909090909090909
BLOK,Hero,275,90,61,5490,0.05009107468123861
BLOKE/MICKEY TORK,Hero,4,2,3,6,0.6666666666666666
BLOOD BROTHERS,Villain,1915,547,291,159177,0.012030632566262713
BLOOD SPIDER/,Hero,380,151,72,10872,0.03495217071376012
BLOOD WRAITH/SEAN DO,Hero,890,272,126,34272,0.025968720821662
BLOOD-TIDE,Hero,106,69,18,1242,0.0853462157809984
BLOODAXE/JACKIE LUKU,Villain,3117,1170,365,427050,0.007298911134527573
BLOODHOUND/,Hero,870,270,171,46170,0.018843404808317088
BLOODLUST,Villain,3880,1119,374,418506,0.009271073771941142
BLOODSCREAM,Hero,1107,328,226,74128,0.014933628318584071
BLOODSHED/WYNDELL DI,Hero,1,1,1,1,1.0
BLOODSTONE/ULYSSES B,Hero,778,206,181,37286,0.02086574049241002
BLOODSTORM | MUTANT,Hero,161,51,41,2091,0.07699665231946437
BLOODSTRIKE/ERIC CON,Hero,81,28,31,868,0.09331797235023041
"BLOODVESSEL, BUSTA",Hero,177,67,48,3216,0.05503731343283582
BLOODWING [SHI'AR],Hero,415,116,103,11948,0.03473384666889856
BLOODWRAITH/SEAN DOL,Hero,47,17,21,357,0.13165266106442577
BLOODY BESS,Hero,876,225,173,38925,0.022504816955684008
BLOODY MARY,Hero,306,104,69,7176,0.042642140468227424
"BLOTT, BRIGADIER INK",Hero,2,2,1,2,1.0
BLOWTORCH/,Hero,1,1,1,1,1.0
BLUDGEON/,Hero,745,249,122,30378,0.024524326815458554
BLUE BULLET/PROF. JO,Villain,2,2,1,2,1.0
BLUE DIAMOND/PROFESS,Hero,654,195,112,21840,0.029945054945054946
BLUE SHIELD/JOSEPH J,Hero,601,200,115,23000,0.026130434782608694
