,hero,h_type,rel_ct,node_type,node_ct,p_rel_ct,density
1518,D'KEN [SHI'AR],Villain,12,na,7,21.0,0.5714285714285714
1519,DMITRI,Hero,8,na,5,10.0,0.8
1520,D.O.A.,Hero,10,na,6,15.0,0.6666666666666666
1521,DOC,Hero,3,na,3,3.0,1.0
1522,"DOCKERY, RUPERT",Hero,1,na,2,1.0,1.0
1523,DOC SAMSON/DR. LEONA,Hero,394,na,60,1770.0,0.22259887005649717
1524,DOC SAMSON | MUTANT,Hero,3,na,3,3.0,1.0
1525,DOCTOR DREDD,Hero,2,na,3,3.0,0.6666666666666666
1526,"DOCTOR, DR. JOSHUA",Hero,0,na,1,0.0,
1527,DOCTOR MANDIBUS,Hero,10,na,5,10.0,1.0
1528,DOGGEREL,Hero,1,na,2,1.0,1.0
1529,"DOLAN, CAPT. THOMAS",Hero,11,na,6,15.0,0.7333333333333333
1530,"DOLAN, STACY",Hero,16,na,9,36.0,0.4444444444444444
1531,DOLLAR BILL,Hero,58,na,15,105.0,0.5523809523809524
1532,DOLMAN,Hero,1,na,2,1.0,1.0
1533,"DOMANI, DINO",Hero,0,na,1,0.0,
1534,DOMINA,Hero,63,na,14,91.0,0.6923076923076923
1535,DOMINEX,Hero,6,na,4,6.0,1.0
1536,DOMINO II,Hero,3,na,3,3.0,1.0
1537,DOMINO III/BEATRICE/,Hero,382,na,59,1711.0,0.2232612507305669
1538,DOMINO,Hero,1,na,2,1.0,1.0
1539,DOMINUS II,Hero,0,na,1,0.0,
1540,DOMINUS,Hero,0,na,1,0.0,
1541,DOMO,Hero,8,na,6,15.0,0.5333333333333333
1542,"DONALDSON, LINDA",Hero,16,na,8,28.0,0.5714285714285714
1543,DONAR,Hero,3,na,3,3.0,1.0
1544,"DON, GAI NO",Hero,0,na,1,0.0,
1545,"DONLEAVY, HANNAH",Hero,6,na,6,15.0,0.4
1546,"DONNELY, VICTORIA TO",Hero,1,na,2,1.0,1.0
1547,"DONOHUE, TREVOR",Hero,1,na,2,1.0,1.0
1548,DONYELL,Hero,1,na,2,1.0,1.0
