,hero,h_type,rel_ct,Comic,Hero,p_rel_ct,density
780,"BURKE, RICKY",Hero,3,1,3,3,1.0
781,"BURKE, THERESA TRACY",Hero,14,6,7,42,0.3333333333333333
782,"BURLEY, MIKE",Hero,21,12,6,72,0.2916666666666667
783,"BURLINGAME, CALVIN",Hero,7,1,7,7,1.0
784,BURNING PUDDLE,Hero,2,1,2,2,1.0
785,"BURR, CLAYTON",Hero,14,5,5,25,0.56
786,"BURRTHROP, T. BARTON",Hero,6,1,6,6,1.0
787,BURST/,Hero,9,1,9,9,1.0
788,"BUSH, GEORGE",Hero,24,5,19,95,0.25263157894736843
789,"BUSHKIN, BARNEY",Hero,65,22,20,440,0.14772727272727273
790,"BUSHMAN, RAOUL",Hero,16,13,3,39,0.41025641025641024
791,BUSHMASTER II/QUINCY,Villain,158,15,35,525,0.30095238095238097
792,BUSHMASTER/JOHN MCIV,Villain,10,6,4,24,0.4166666666666667
793,BUSHWACKER/CARL,Villain,51,16,16,256,0.19921875
794,"BUSIEK, KURT",Hero,2,1,2,2,1.0
795,BUTCH,Hero,62,21,20,420,0.14761904761904762
796,BUTTERFLY,Hero,8,3,3,9,0.8888888888888888
797,BUTTONS,Hero,6,3,3,9,0.6666666666666666
798,BUX,Hero,15,8,6,48,0.3125
799,BUZZ,Hero,53,17,18,306,0.17320261437908496
800,BUZZARD,Hero,3,1,3,3,1.0
801,"BYRD, NATHANIEL ALEX",Hero,16,14,3,42,0.38095238095238093
802,"BYRD, SEN. HARRINGTO",Hero,52,25,12,300,0.17333333333333334
803,BYREL,Hero,1,1,1,1,1.0
804,"BYRNE, JOHN",Hero,9,5,5,25,0.36
805,"BYRNES, GAYLE WATSON",Hero,21,8,12,96,0.21875
806,"BYRNES, TIM",Hero,7,2,6,12,0.5833333333333334
807,BYRRAH [ATLANTEAN],Hero,27,13,7,91,0.2967032967032967
808,BYRRAH | HEROES REBO,Hero,4,2,2,4,1.0
809,C.F.,Hero,7,2,5,10,0.7
810,"CABE, BETHANY",Hero,122,57,29,1653,0.07380520266182698
811,CABER,Hero,12,5,8,40,0.3
812,CACHE,Villain,6,5,2,10,0.6
813,"CACHES, FABIAN",Hero,1,1,1,1,1.0
814,"CACHES, PROF. MARINA",Hero,15,5,8,40,0.375
815,CACTUS,Hero,5,2,4,8,0.625
816,CADAVER,Hero,1,1,1,1,1.0
817,CADMIUM,Hero,19,3,7,21,0.9047619047619048
818,CADUCEUS,Hero,13,9,5,45,0.28888888888888886
819,CAESAR,Hero,3,2,2,4,0.75
820,"CAESAR, JONATHAN",Hero,41,12,14,168,0.24404761904761904
821,"CAESAR, JULIUS",Hero,2,1,2,2,1.0
822,"CAGE, LUKE/CARL LUCA",Hero,555,232,134,31088,0.01785254760679362
823,"CAGLIOSTRO, ALESSAND",Hero,14,8,6,48,0.2916666666666667
824,"CAIRN, DET.",Hero,7,2,5,10,0.7
825,CALCULUS/JAHAHAREL P,Hero,27,11,10,110,0.24545454545454545
826,"CALDERONE, HANNAH",Hero,3,1,3,3,1.0
827,"CALDRONE, JAVIER",Hero,7,4,3,12,0.5833333333333334
828,CALEDONIA/ALISANDE S,Hero,20,11,9,99,0.20202020202020202
