hero,h_type,rel_ct,node_type,node_ct,p_rel_ct,density
APE/,Villain,117326,na,2840,4031380,0.029103186
APE-X/XINA,Hero,16952,na,344,58996,0.287341515
APOCALYPSE/EN SABAH,Villain,165664,na,5595,15649215,0.01058609
APOCALYPSE | MUTANT,Villain,42185,na,800,319600,0.131993116
APOCRYPHUS,Hero,134948,na,3652,6666726,0.02024202
APOLLO [GREEK GOD],Hero,134625,na,3492,6095286,0.02208674
APOSTATE,Hero,90669,na,1897,1798356,0.050417715
APPALLA,Hero,60858,na,1202,721801,0.084314098
"APPLEBAUM, PHANTASY",Hero,84582,na,1918,1838403,0.046008411
AQUARIAN/WUNDARR,Hero,160205,na,5266,13862745,0.011556514
AQUARIUS/DARREN BENT,Villain,130280,na,3468,6011778,0.021670794
AQUARIUS III/,Villain,39326,na,705,248160,0.158470342
AQUARIUS II/,Villain,105510,na,2507,3141271,0.033588315
ARABIAN KNIGHT/ABDUL,Hero,165365,na,5730,16413585,0.010074886
ARACHNE,Hero,135689,na,3534,6242811,0.021735241
ARAGORN,Hero,156905,na,4980,12397710,0.012655966
ARAKI II,Hero,107583,na,2346,2750685,0.039111349
ARAKI [SHI'AR],Hero,150240,na,4490,10077805,0.014908008
"ARBOGAST, BAMBI",Hero,155347,na,4946,12228985,0.01270318
ARCADE/,Villain,148538,na,4390,9633855,0.015418335
ARCADIUS,Hero,122686,na,2960,4379320,0.028014852
ARCANNA/ARCANNA JONE,Hero,155792,na,4940,12199330,0.012770537
ARCHAEOPTERYX/TONAJA,Hero,94962,na,2034,2067561,0.045929479
ARCHER/JUDE BLACK,Hero,81455,na,1655,1368685,0.059513328
"ARCHER, ULYSSES SAMS",Hero,88389,na,1789,1599366,0.055265024
ARCLIGHT/PHILLIPA SO,Villain,147959,na,4161,8654880,0.017095442
ARCTURUS,Hero,88657,na,1872,1751256,0.050624809
ARES [GREEK GOD],Villain,149488,na,4368,9537528,0.015673663
