hero,h_type,rel_ct,Comic,Hero,p_rel_ct,density
BARON SAMEDI,Hero,8342,37,180,6660,1.252552553
BARON STRUCKER/WOLFG,Villain,242190,9094,5374,48871156,0.004955684
BARON ZEBEK,Hero,25937,198,480,95040,0.272906145
BARONESS ZEMO/HEIKE,Villain,144536,2368,2672,6327296,0.022843249
BARRACUDA/,Villain,110126,1378,1954,2692612,0.04089932
BARRAGE,Hero,178643,3613,3545,12808085,0.013947674
"BARRANCO, MARIA ESME",Hero,128170,2006,2274,4561644,0.028097326
"BARRENOS, OMAR",Hero,82927,832,1570,1306240,0.063485271
BARRIER/,Hero,13387,97,362,35114,0.381243948
BARRINGTON,Hero,49820,542,953,516526,0.096452066
"BARRON, RICK",Hero,15921,231,431,99561,0.159912014
"BARROWS, WALTER",Hero,3651,43,135,5805,0.628940568
"BARTLETT, STU",Hero,131360,1802,2412,4346424,0.030222546
"BARTON, SEN.",Hero,112672,1373,1974,2710302,0.041571751
BARTOS,Hero,89081,849,1489,1264161,0.070466499
BASALLO/LAVA MEN KIN,Hero,158095,3711,2984,11073624,0.014276717
BASALTAR,Hero,89081,849,1489,1264161,0.070466499
BASILISK II,Villain,24502,247,503,124241,0.19721348
BASILISK III/,Villain,165796,3362,3296,11081152,0.014961982
BASILISK/BASIL ELKS,Villain,162416,3790,3289,12465310,0.013029439
BATAL/,Hero,56779,300,956,286800,0.197974198
BATROC/GEORGES BATRO,Villain,227818,7550,5090,38429500,0.005928206
BATTERING RAM,Hero,83804,820,1388,1138160,0.073631124
BATTERY/,Hero,72010,703,1421,998963,0.072084752
"BATTLE, MONTGOMERY",Hero,135201,2062,2533,5223046,0.02588547
BATTLEAXE II/JEROME,Hero,108129,1473,1936,2851728,0.03791701
BATTLEAXE/,Hero,147396,2192,2692,5900864,0.024978715
BATTLESTAR/LEMAR HOS,Hero,232681,8146,5124,41740104,0.005574519
BATWING/,Hero,98578,1678,1876,3147928,0.031315202
BAV-TEK,Hero,5338,51,184,9384,0.56884058
BAXTER,Hero,34406,330,700,231000,0.148943723
"BAXTER, ABIGAIL",Hero,148483,3451,2962,10221862,0.014526023
"BAXTER, NOAH",Hero,191247,5321,3930,20911530,0.009145529
"BAYLOR, FRANK",Hero,4057,25,139,3475,1.167482014
BAYMAX,Hero,164049,2753,3135,8630655,0.019007711
"BAZIN, ALLEGRA",Hero,149810,2896,2903,8407088,0.017819488
"BAZIN, ANDREW",Hero,125191,1948,2331,4540788,0.027570325
"BAZIN, BRODERICK RIC",Hero,126379,1979,2366,4682314,0.026990714
"BAZIN, PHILLIPPE",Hero,169530,4251,3448,14657448,0.011566133
"BEACH, GINGER",Hero,230041,7375,5035,37133125,0.006195035
"BEACH, SPIDER",Hero,230041,7375,5035,37133125,0.006195035
"BEALE, ERIC",Hero,114014,1659,2013,3339567,0.034140354
BEAR/,Hero,36291,543,858,465894,0.077895401
BEAST 2013,Hero,35164,122,553,67466,0.521210684
BEAST DOPPELGANGER,Villain,228087,7286,4990,36357140,0.006273513
BEAST DOPPELGANGER I,Villain,237507,8289,5355,44387595,0.005350752
BEAST/HENRY &HANK& P,Hero,266063,12049,6328,76246072,0.003489531
"BEAUMONT, SPENCER",Hero,58070,568,1112,631616,0.091938773
BEAUTIFUL DREAMER,Hero,141911,2274,2633,5987442,0.02370144
BEAUTIFUL DREAMER II,Hero,120394,1836,2226,4086936,0.029458254
BEAUTY,Hero,173975,4262,3561,15176982,0.011463083
"BECKFORD, NOEL",Hero,138225,3023,2714,8204422,0.016847622
"BECKLEY, BENNY",Hero,60314,519,996,516924,0.116678661
"BECKMAN, CHARLES",Hero,13781,93,278,25854,0.533031639
