hero,h_type,rel_ct,node_type,node_ct,p_rel_ct,density
BANSHEE II,Hero,10,na,8,28.0,0.35714285714285715
BANSHEE/SEAN CASSIDY,Hero,870,na,104,5356.0,0.16243465272591487
BANTAM/,Hero,30,na,9,36.0,0.8333333333333334
"BANTOCK, LT. OLIVER",Hero,3,na,3,3.0,1.0
"BAPTISTE, TANTE MATT",Hero,0,na,1,0.0,
BARAK,Hero,1,na,2,1.0,1.0
"BARBAROSSA, MARIO",Hero,1,na,2,1.0,1.0
"BARBAROSSA, VINNIE",Hero,9,na,6,15.0,0.6
BARBARUS,Villain,157,na,24,276.0,0.5688405797101449
BARIUM,Hero,20,na,8,28.0,0.7142857142857143
"BARKER, MATTHEW T.",Hero,1,na,2,1.0,1.0
BARKER,Hero,3,na,3,3.0,1.0
BARNACLE/,Hero,66,na,12,66.0,1.0
"BARNETT, MIKE",Hero,28,na,9,36.0,0.7777777777777778
BARON BLOOD II/VICTO,Villain,38,na,12,66.0,0.5757575757575758
BARON BLOOD/JOHN FAL,Villain,72,na,15,105.0,0.6857142857142857
BARON BRIMSTONE/,Hero,20,na,8,28.0,0.7142857142857143
BARONESS ZEMO/HEIKE,Villain,68,na,13,78.0,0.8717948717948718
BARON MACABRE/,Hero,3,na,3,3.0,1.0
BARON MORDO/KARL MOR,Villain,177,na,25,300.0,0.59
BARON SAMEDI,Hero,0,na,1,0.0,
BARON STRUCKER/WOLFG,Villain,172,na,37,666.0,0.25825825825825827
BARON ZEBEK,Hero,3,na,3,3.0,1.0
BARRACUDA/,Villain,1,na,2,1.0,1.0
BARRAGE,Hero,15,na,7,21.0,0.7142857142857143
"BARRANCO, MARIA ESME",Hero,3,na,3,3.0,1.0
