,hero,h_type,rel_ct,Comic,Hero,p_rel_ct,density
616,BLOODY BESS,Hero,24165,1918,2296,4403728,0.005487396133457834
617,BLOODY MARY,Hero,15811,1616,1816,2934656,0.005387684280542592
618,"BLOTT, BRIGADIER INK",Hero,8708,723,1128,815544,0.010677535485516415
619,BLOWTORCH/,Hero,15307,1577,1755,2767635,0.005530714852211365
620,BLUDGEON/,Hero,26386,2219,2483,5509777,0.004788941548814044
621,BLUE BULLET/PROF. JO,Villain,21214,1752,2196,3847392,0.005513864976586737
622,BLUE DIAMOND/PROFESS,Hero,33279,3256,3060,9963360,0.0033401382666088547
623,BLUE SHIELD/JOSEPH J,Hero,69502,7586,4830,36640380,0.0018968689735204712
624,BLUE STREAK/,Hero,43146,4121,3525,14526525,0.0029701528755156515
625,BLUNT,Hero,26128,1968,2523,4965264,0.005262157258909093
626,BLUR,Hero,5724,404,1048,423392,0.013519386289774015
627,BLURRY,Hero,7560,521,1010,526210,0.014366887744436632
628,BOAK,Hero,22320,1604,2257,3620228,0.006165357541016754
629,BOBCAT/,Hero,10181,691,1316,909356,0.011195835294428145
630,BODYBAG,Hero,61409,6341,4423,28046243,0.0021895624308753228
631,"BOERKE, MAYOR",Hero,28973,2386,2601,6205986,0.004668557099548726
632,BOGATYR/MIKULA GOLUB,Hero,31733,2642,2935,7754270,0.004092325905597819
633,"BOGGS, MORDECAI P.",Hero,33932,3282,2934,9629388,0.003523796112483992
634,BOLERO/,Hero,14612,1239,1776,2200464,0.00664041765736681
635,BOLT II/CHRIS BRADLE,Hero,80133,9055,5365,48580075,0.0016495034229568398
636,"BOLT, COUNCILMAN AND",Hero,32603,3067,2857,8762419,0.0037207761920538154
637,BOLT/LAWRENCE EVANS,Hero,8679,917,1358,1245286,0.006969483315479336
638,BOMBADIER/,Hero,2517,230,431,99130,0.025390900837284375
639,BOMBLAST/,Hero,19815,1373,2198,3017854,0.00656592399764866
640,BOMBSHELL/,Villain,41069,3904,3490,13624960,0.0030142473812767158
641,BOND,Hero,13932,882,1477,1302714,0.0106945960510135
642,BONEBREAKER/,Villain,28458,2480,2811,6971280,0.004082177161152615
643,BONES/ELIZABETH BLIS,Hero,17942,1823,2030,3700690,0.004848285049544814
644,BONITA,Hero,12291,826,1525,1259650,0.009757472313737943
645,BOOBYTRAP/,Hero,42810,3836,3615,13867140,0.0030871542365621175
646,BOOKWORM/NELSON GRUB,Hero,287,25,139,3475,0.08258992805755395
647,BOOMER/TABITHA SMITH,Hero,84753,9689,5747,55682683,0.001522071053939696
648,BOOMERANG/FRED MYERS,Villain,73813,8284,5291,43830644,0.0016840500906169665
649,BOOMSLANG/,Villain,60859,6184,4455,27549720,0.002209060563954915
650,BOONE,Hero,17169,1788,1998,3572424,0.004805980477121417
651,BORA,Hero,62110,6175,4378,27034150,0.0022974645032301736
652,BORAKU,Hero,5564,359,777,278943,0.019946727467618833
653,BORROB,Hero,3649,310,688,213280,0.017108964741185298
654,"BORROUGHS, CHARLES C",Hero,13319,1323,1908,2524284,0.005276347669279684
655,"BOSCO, ELAINE",Hero,19032,1244,2046,2545224,0.007477534393829384
656,BOSHLOVOR,Hero,25403,2261,2460,5562060,0.004567192730750837
657,"BOUDREAUX, BELLA DON",Villain,29519,2532,2937,7436484,0.003969483427921044
658,"BOUDREAUX, MARIUS",Hero,3812,208,643,133744,0.02850221318339514
659,BOULDER/,Hero,15672,1393,1782,2482326,0.006313433449111841
660,BOUNCER,Hero,16362,1066,1699,1811134,0.009034118955306454
661,BOUNTY,Hero,30085,2404,2774,6668696,0.004511376736921281
662,BOUNTY II,Hero,60504,6246,4354,27195084,0.0022248138670945086
663,BOVA,Hero,65041,6575,4600,30245000,0.0021504711522565712
