hero,h_type,rel_ct,node_type,node_ct,p_rel_ct,density
"BALLANTINE, KAYLA",Hero,5559,na,454,102831.0,0.05405957347492488
"BALLANTINE, MR.",Hero,173,na,37,666.0,0.25975975975975973
"BALLANTINE, MRS.",Hero,173,na,37,666.0,0.25975975975975973
BALOR,Hero,64,na,20,190.0,0.3368421052631579
BAMBI,Hero,4265,na,359,64261.0,0.06636996000684707
"BANCROFT, MARTINE",Hero,2020,na,202,20301.0,0.09950248756218906
BANDIT/,Hero,1,na,2,1.0,1.0
"BANK, IRVING",Hero,0,na,1,0.0,
"BANKS, SHARON",Hero,4299,na,337,56616.0,0.07593259855871132
"BANNER, BETTY ROSS T",Hero,6486,na,570,162165.0,0.039996300064748865
"BANNERJEE, DR.",Hero,0,na,1,0.0,
"BANNON, LANCE",Hero,5239,na,424,89676.0,0.05842142825282127
BANSHEE 2013,Hero,376,na,56,1540.0,0.24415584415584415
BANSHEE II,Hero,1801,na,167,13861.0,0.12993290527378976
BANSHEE/SEAN CASSIDY,Hero,6410,na,552,152076.0,0.04214997764275757
BANTAM/,Hero,635,na,80,3160.0,0.20094936708860758
"BANTOCK, LT. OLIVER",Hero,310,na,62,1891.0,0.16393442622950818
"BAPTISTE, TANTE MATT",Hero,0,na,1,0.0,
BARAK,Hero,287,na,40,780.0,0.367948717948718
"BARBAROSSA, MARIO",Hero,160,na,30,435.0,0.367816091954023
"BARBAROSSA, VINNIE",Hero,2765,na,241,28920.0,0.0956085753803596
BARBARUS,Villain,4774,na,391,76245.0,0.06261394189782937
BARIUM,Hero,2780,na,200,19900.0,0.13969849246231156
"BARKER, MATTHEW T.",Hero,69,na,17,136.0,0.5073529411764706
BARKER,Hero,1976,na,195,18915.0,0.10446735395189004
BARNACLE/,Hero,1909,na,171,14535.0,0.13133814929480564
"BARNETT, MIKE",Hero,2058,na,189,17766.0,0.11583924349881797
BARON BLOOD II/VICTO,Villain,3939,na,348,60378.0,0.06523899433568518
BARON BLOOD/JOHN FAL,Villain,4096,na,351,61425.0,0.06668294668294668
BARON BRIMSTONE/,Hero,3108,na,222,24531.0,0.12669683257918551
BARONESS ZEMO/HEIKE,Villain,3657,na,288,41328.0,0.08848722415795586
BARON MACABRE/,Hero,3,na,3,3.0,1.0
BARON MORDO/KARL MOR,Villain,5198,na,422,88831.0,0.058515608289898796
BARON SAMEDI,Hero,0,na,1,0.0,
BARON STRUCKER/WOLFG,Villain,6005,na,505,127260.0,0.04718686154329719
BARON ZEBEK,Hero,18,na,8,28.0,0.6428571428571429
BARRACUDA/,Villain,1,na,2,1.0,1.0
BARRAGE,Hero,1599,na,147,10731.0,0.14900754822476936
"BARRANCO, MARIA ESME",Hero,118,na,26,325.0,0.3630769230769231
"BARRENOS, OMAR",Hero,389,na,52,1326.0,0.2933634992458522
B'ARR,Hero,848,na,82,3321.0,0.25534477566997893
BARRIER/,Hero,801,na,81,3240.0,0.24722222222222223
BARRINGTON,Hero,150,na,29,406.0,0.3694581280788177
"BARRON, RICK",Hero,0,na,1,0.0,
"BARROWS, WALTER",Hero,0,na,1,0.0,
"BARTLETT, STU",Hero,1021,na,100,4950.0,0.20626262626262626
"BARTON, SEN.",Hero,174,na,38,703.0,0.24751066856330015
BARTOS,Hero,212,na,41,820.0,0.25853658536585367
BASALLO/LAVA MEN KIN,Hero,22,na,9,36.0,0.6111111111111112
BASALTAR,Hero,212,na,41,820.0,0.25853658536585367
