,hero,h_type,rel_ct,Comic,Hero,p_rel_ct,density
116,ANCIENT ONE/BARON MO,Hero,55,1,10,10,5.5
117,"ANDERS, JOSHUA RICHI",Hero,5,3,2,6,0.8333333333333334
118,"ANDERSON, BAXTER",Hero,3,1,2,2,1.5
119,"ANDERSON, CHARLES",Hero,23,3,7,21,1.0952380952380953
120,"ANDERSON, CHET",Hero,1,1,1,1,1.0
121,"ANDERSON, CHIEF MAGI",Hero,57,4,11,44,1.2954545454545454
122,"ANDERSON, GINA",Hero,2,2,1,2,1.0
123,"ANDERSON, MARJORIE",Hero,1,1,1,1,1.0
124,"ANDERSON, NICKY",Hero,1,1,1,1,1.0
125,"ANDERSSEN, TANYA",Hero,178,7,22,154,1.155844155844156
126,"ANDREWS, DARYL TROOP",Hero,24,7,6,42,0.5714285714285714
127,ANDROMEDA/ANDROMEDA,Hero,139,27,23,621,0.22383252818035426
128,ANDROS,Hero,22,4,5,20,1.1
129,ANDWELLA,Hero,4,2,2,4,1.0
130,ANELLE,Hero,13,5,4,20,0.65
131,ANGAR THE SCREAMER/D,Hero,538,23,52,1196,0.4498327759197324
132,ANGEL 2013,Hero,1,1,1,1,1.0
133,ANGEL DOPPELGANGER,Villain,91,1,13,13,7.0
134,ANGEL II/THOMAS HALL,Hero,4,2,2,4,1.0
135,ANGEL III/HALLOWAY,Hero,13,2,5,10,1.3
136,ANGEL IV,Hero,25,4,6,24,1.0416666666666667
137,ANGEL/WARREN KENNETH,Hero,5014,444,266,118104,0.04245410824358193
138,"ANGELOPOULOS, ANGEL",Hero,1,1,1,1,1.0
139,ANGKOR,Villain,2,2,1,2,1.0
140,ANGLER,Hero,30,5,7,35,0.8571428571428571
141,"ANGSTROM, EARL",Hero,9,2,3,6,1.5
142,ANIELLE,Hero,1,1,1,1,1.0
143,ANIMATOR II/,Villain,1,1,1,1,1.0
144,ANIMATOR/DR. FREDRIC,Villain,58,3,10,30,1.9333333333333333
145,ANIMUS,Hero,1,1,1,1,1.0
146,ANNALEE,Villain,149,5,16,80,1.8625
147,ANNIHILUS,Villain,228,37,27,999,0.22822822822822822
148,ANOMALY,Hero,10,1,4,4,2.5
149,ANOMALY III,Hero,1,1,1,1,1.0
150,"ANON, LORD",Hero,78,1,12,12,6.5
151,ANSWER,Villain,54,6,9,54,1.0
152,ANSWER II/DAVID FERR,Villain,9,2,4,8,1.125
153,ANT-MAN II/SCOTT HAR,Hero,1309,108,99,10692,0.12242798353909465
154,ANT-MAN/DR. HENRY J.,Hero,4774,561,262,146982,0.03248016763957491
155,ANTEUS,Hero,64,4,11,44,1.4545454545454546
156,ANTHROMORPHO,Hero,20,3,6,18,1.1111111111111112
157,ANTI-PHOENIX,Hero,2,2,1,2,1.0
158,ANTI-VISION,Hero,5,2,2,4,1.25
159,ANTIBODY,Hero,1,1,1,1,1.0
160,ANTIQUARY/,Hero,1,1,1,1,1.0
161,"ANTOINETTE, MARIE",Hero,5,3,2,6,0.8333333333333334
162,ANTORO,Hero,28,1,7,7,4.0
163,ANTRO,Hero,38,4,10,40,0.95
164,"ANUBAR, ANWAR",Hero,8,2,3,6,1.3333333333333333
165,ANUBIA,Hero,6,1,3,3,2.0
166,ANVIL/JOHNNY ANVIL,Hero,4,4,1,4,1.0
167,APE MAN II/ROY MCVEY,Villain,8,2,3,6,1.3333333333333333
168,APE MAN/GORDON MONK,Villain,58,12,11,132,0.4393939393939394
169,APE-X/XINA,Hero,22,7,3,21,1.0476190476190477
170,APE/,Villain,317,9,25,225,1.4088888888888889
171,APOCALYPSE | MUTANT,Villain,35,5,7,35,1.0
172,APOCALYPSE/EN SABAH,Villain,895,84,61,5124,0.17466822794691647
173,APOCRYPHUS,Hero,10,3,4,12,0.8333333333333334
174,APOLLO [GREEK GOD],Hero,41,8,8,64,0.640625
175,APOSTATE,Hero,7,3,2,6,1.1666666666666667
176,APPALLA,Hero,4,2,2,4,1.0
177,"APPLEBAUM, PHANTASY",Hero,10,1,4,4,2.5
178,AQUARIAN/WUNDARR,Hero,108,21,20,420,0.2571428571428571
179,AQUARIUS II/,Villain,36,3,7,21,1.7142857142857142
180,AQUARIUS III/,Villain,21,1,6,6,3.5
181,AQUARIUS/DARREN BENT,Villain,87,9,11,99,0.8787878787878788
182,ARABIAN KNIGHT/ABDUL,Hero,175,15,23,345,0.5072463768115942
183,ARACHNE,Hero,38,4,10,40,0.95
184,ARAGORN,Hero,231,32,35,1120,0.20625
185,ARAKI II,Hero,25,3,6,18,1.3888888888888888
186,ARAKI [SHI'AR],Hero,56,9,11,99,0.5656565656565656
187,"ARBOGAST, BAMBI",Hero,494,87,53,4611,0.1071351116894383
188,ARCADE/,Villain,118,28,17,476,0.24789915966386555
189,ARCADIUS,Hero,70,8,9,72,0.9722222222222222
190,ARCANNA/ARCANNA JONE,Hero,199,32,22,704,0.28267045454545453
191,ARCHAEOPTERYX/TONAJA,Hero,66,10,6,60,1.1
192,"ARCHER, ULYSSES SAMS",Hero,31,21,3,63,0.49206349206349204
193,ARCHER/JUDE BLACK,Hero,17,7,4,28,0.6071428571428571
194,ARCLIGHT/PHILLIPA SO,Villain,868,19,54,1026,0.8460038986354775
195,ARCTURUS,Hero,2,2,1,2,1.0
196,ARES [GREEK GOD],Villain,136,29,21,609,0.2233169129720854
197,AREX,Hero,7,2,3,6,1.1666666666666667
198,ARGOS,Hero,3,3,1,3,1.0
199,"ARGOSY, HERVE",Hero,10,1,4,4,2.5
200,ARIA,Hero,23,5,5,25,0.92
201,ARIANE,Hero,5,2,2,4,1.25
202,ARIDES,Hero,36,5,6,30,1.2
203,ARIEL II,Hero,42,8,8,64,0.65625
204,ARIES II/GROVER RAYM,Hero,122,9,16,144,0.8472222222222222
205,ARIES III/,Hero,28,1,7,7,4.0
206,ARIES/MARCUS LASSITE,Hero,37,2,8,16,2.3125
207,ARISHEM [CELESTIAL],Hero,154,22,23,506,0.30434782608695654
208,ARIZE,Hero,80,3,15,45,1.7777777777777777
209,"ARKANIAN, GLIB",Hero,8,3,3,9,0.8888888888888888
210,ARKO,Hero,27,5,5,25,1.08
211,ARKON,Hero,82,16,14,224,0.36607142857142855
212,"ARLINGTON, DR. MARCU",Hero,13,3,4,12,1.0833333333333333
213,ARLISSE,Hero,1,1,1,1,1.0
214,ARMADA,Hero,1,1,1,1,1.0
215,ARMADA II/,Hero,14,3,4,12,1.1666666666666667
216,ARMADILLO/ANTONIO RO,Hero,338,7,39,273,1.2380952380952381
217,ARMAGEDDON,Hero,4,2,2,4,1.0
218,ARMAGEDDON MAN,Hero,9,2,3,6,1.5
219,ARMAND,Hero,2,2,1,2,1.0
220,ARMAROS,Hero,3,1,2,2,1.5
221,ARMAZIEL,Hero,1,1,1,1,1.0
222,"ARMBRUSTER, COLONEL",Hero,34,14,7,98,0.3469387755102041
