,hero,h_type,rel_ct,Comic,Hero,p_rel_ct,density
39,AFTERLIFE,Hero,57,2,11,22,2.590909090909091
40,AGAMEMNON,Hero,21,1,6,6,3.5
41,AGAMEMNON II/ANDREI,Hero,10,1,4,4,2.5
42,AGAMEMNON III/,Hero,985,15,57,855,1.152046783625731
43,AGAMOTTO,Hero,535,12,41,492,1.0873983739837398
44,"AGARN, CAPT.",Hero,91,1,13,13,7.0
45,AGED GENGHIS,Hero,241,8,26,208,1.1586538461538463
46,"AGEE, DR. AUBREY",Hero,547,5,38,190,2.8789473684210525
47,"AGEE, REBECCA",Hero,155,2,18,36,4.305555555555555
48,AGENT 18/JACK TRUMAN,Hero,148,4,16,64,2.3125
49,AGENT AXIS/,Hero,232,4,23,92,2.5217391304347827
50,AGENT-X/,Hero,140,2,18,36,3.888888888888889
51,AGGAMON,Villain,7,2,3,6,1.1666666666666667
52,AGINAR,Hero,846,3,45,135,6.266666666666667
53,AGON,Hero,66,1,11,11,6.0
54,AGONY/,Villain,231,1,21,21,11.0
55,"AGUIRRE, ISOBEL",Hero,235,3,22,66,3.5606060606060606
56,AHAB/RORY CAMPBELL,Villain,3590,12,114,1368,2.624269005847953
57,AHQLAU,Hero,278,5,21,105,2.6476190476190475
58,AHURA,Hero,1168,7,55,385,3.033766233766234
59,AI-CHIA,Hero,9,2,3,6,1.5
60,AINET,Hero,129,2,15,30,4.3
61,AIR WALKER/ARLO SAMU,Hero,6,1,3,3,2.0
62,AIR-WALKER/GABRIEL L,Villain,201,12,20,240,0.8375
63,AIRBORNE/,Hero,836,2,47,94,8.893617021276595
64,AIREO/AEOLUS [INHUMA,Hero,1494,16,73,1168,1.279109589041096
65,AJAK/TECUMOTZIN [ETE,Hero,9885,14,197,2758,3.5841189267585207
66,AJAX,Villain,1206,20,69,1380,0.8739130434782608
67,AJAX II,Villain,89,3,13,39,2.282051282051282
68,AJES'HA,Hero,136,1,16,16,8.5
69,AKAFE,Hero,137,2,16,32,4.28125
70,AKULIA,Hero,26,3,6,18,1.4444444444444444
71,"AKUTAGAWA, OSAMU",Hero,45,1,9,9,5.0
72,AL-KHALAD,Hero,26,2,6,12,2.1666666666666665
73,ALANYA,Hero,105,1,14,14,7.5
74,ALBERIK,Hero,231,1,21,21,11.0
75,ALBERT,Hero,1027,17,57,969,1.0598555211558307
76,ALBINO/DR. AUGUSTA S,Hero,105,1,14,14,7.5
77,"ALBUQUERQUE, JEREMIA",Hero,28,1,7,7,4.0
78,ALCHEMY/THOMAS JONES,Hero,682,4,39,156,4.371794871794871
79,"ALDEN, PROF. MEREDIT",Hero,592,4,41,164,3.6097560975609757
80,"ALEGRIA, RICHIE",Hero,282,4,26,104,2.7115384615384617
81,"ALEXANDER, CALEB",Hero,1016,12,54,648,1.5679012345679013
82,"ALEXANDER, CARRIE",Hero,2288,24,98,2352,0.9727891156462585
83,ALFY,Hero,1266,3,54,162,7.814814814814815
84,ALIOTH,Villain,36,1,8,8,4.5
85,ALIST,Hero,78,1,12,12,6.5
86,ALISTRO,Hero,171,1,18,18,9.5
87,"ALLEN, TERRY",Hero,78,1,12,12,6.5
88,"ALOUETTE, GENARD",Hero,456,2,31,62,7.354838709677419
89,ALPHA,Villain,122,2,15,30,4.066666666666666
90,"ALRAUNE, MARLENE",Hero,2062,82,93,7626,0.27039076842381327
91,"ALVAREZ, CARLY",Hero,221,3,20,60,3.683333333333333
92,"ALVAREZ, FELIX",Hero,1154,19,60,1140,1.012280701754386
93,"ALVAREZ, PAUL",Hero,504,6,39,234,2.1538461538461537
94,AMAZO-MAXI-WOMAN/,Hero,28,1,7,7,4.0
95,AMAZON,Hero,253,1,22,22,11.5
96,AMENHOTEP,Hero,151,2,16,32,4.71875
97,AMERICAN EAGLE II/JA,Hero,190,1,19,19,10.0
98,AMERICAN EAGLE III/J,Hero,6212,5,121,605,10.267768595041323
99,AMERICAN SAMURAI/,Hero,46,3,8,24,1.9166666666666667
100,AMERICOP/,Villain,46,3,8,24,1.9166666666666667
101,AMIKO,Hero,283,9,30,270,1.048148148148148
102,AMINEDI,Hero,73,3,10,30,2.433333333333333
103,AMPERE/,Hero,15,1,5,5,3.0
104,AMPHARON,Hero,120,1,15,15,8.0
105,AMPHIBIAN/KINGLEY RI,Hero,1121,13,56,728,1.539835164835165
106,AMPHIBIUS,Villain,2725,18,96,1728,1.5769675925925926
107,ANACONDA/BLANCHE SIT,Villain,6214,33,176,5808,1.0699035812672177
108,ANAIS,Hero,63,4,9,36,1.75
109,ANAK,Hero,1055,13,50,650,1.623076923076923
110,ANALYZER,Hero,3429,35,129,4515,0.759468438538206
111,"ANAMI, HIROSHI",Hero,153,1,17,17,9.0
112,ANANASTASIA/ANNA,Hero,18,3,4,12,1.5
113,ANARCHIST/TIKE ALICA,Hero,170,2,21,42,4.0476190476190474
114,ANCESTOR/,Hero,262,4,21,84,3.119047619047619
115,ANCIENT ONE,Hero,1528,74,84,6216,0.24581724581724582
116,ANCIENT ONE/BARON MO,Hero,406,1,28,28,14.5
117,"ANDERS, JOSHUA RICHI",Hero,174,3,19,57,3.0526315789473686
118,"ANDERSON, BAXTER",Hero,21,1,6,6,3.5
