,hero,h_type,rel_ct,node_type,node_ct,p_rel_ct,density
213,ARMADA,Hero,108237,na,2418,2922153.0,0.03704015498161801
214,ARMADILLO/ANTONIO RO,Hero,142482,na,4019,8074171.0,0.017646641370364834
215,ARMAGEDDON,Hero,69538,na,1457,1060696.0,0.06555884061031625
216,ARMAGEDDON MAN,Hero,41873,na,908,411778.0,0.10168828834954757
217,ARMAND,Hero,5644,na,176,15400.0,0.3664935064935065
218,ARMAROS,Hero,14125,na,488,118828.0,0.11886929006631433
219,ARMAZIEL,Hero,24224,na,464,107416.0,0.2255157518433008
220,"ARMBRUSTER, COLONEL",Hero,123820,na,3068,4704778.0,0.02631792615932144
221,ARMS MERCHANT/ANDREA,Hero,97525,na,2127,2261001.0,0.04313355013996013
222,"ARMSTRONG, ?",Hero,13400,na,431,92665.0,0.14460691739060055
223,"ARMSTRONG, MYRA",Hero,119265,na,2896,4191960.0,0.028450891706981937
224,ARNSTROM,Hero,124415,na,3048,4643628.0,0.026792628522353642
225,ARON [WATCHER],Hero,158153,na,5031,12652965.0,0.012499283764714436
226,ARRANGER/,Hero,134268,na,3608,6507028.0,0.020634304939213418
227,ARROW,Hero,61283,na,1194,712221.0,0.0860449214499432
228,ARSENAL,Hero,134118,na,3540,6264030.0,0.021410816998002884
229,ARSENAL II,Hero,23875,na,450,101025.0,0.23632764167285325
230,ARSENIC,Hero,127702,na,3080,4741660.0,0.02693191835770595
231,ARTEMIS,Hero,117647,na,2758,3801903.0,0.030944240292295727
232,ARVAK,Hero,32618,na,634,200661.0,0.16255276311789535
233,ARYAN,Villain,110456,na,2533,3206778.0,0.03444454215414974
234,ASANO,Hero,88071,na,1834,1680861.0,0.05239636115062459
235,"ASBERY, SHAMARI",Hero,94870,na,1960,1919820.0,0.0494160910918732
236,ASBESTOS LADY,Hero,102238,na,2204,2427706.0,0.04211300709393971
237,"ASH, BRANDY",Hero,80625,na,1727,1490401.0,0.05409617948458167
238,ASHEMA [CELESTIAL],Hero,143459,na,4281,9161340.0,0.01565917212984127
