,hero,h_type,rel_ct,node_type,node_ct,p_rel_ct,density
461,BERNIE,Hero,323,na,34,561.0,0.5757575757575758
462,"BERNSTEIN, DR. NOAH",Hero,270,na,35,595.0,0.453781512605042
463,"BERNSTEIN, EMMA WEBS",Hero,64,na,12,66.0,0.9696969696969697
464,BERSERKER,Villain,45,na,10,45.0,1.0
465,BERSERKER II,Villain,0,na,1,0.0,
466,BERSERKER III,Villain,231,na,22,231.0,1.0
467,BERTRAM,Hero,78,na,13,78.0,1.0
468,BERYLLIUM,Hero,919,na,49,1176.0,0.7814625850340136
469,BERYL,Hero,149,na,18,153.0,0.9738562091503268
470,BETA RAY BILL,Hero,8748,na,239,28441.0,0.30758412151471465
471,BETA RAY BILL | MUTA,Hero,1176,na,49,1176.0,1.0
472,"BETELHEIM, NORMA",Hero,21,na,7,21.0,1.0
473,BETTY-6,Hero,195,na,22,231.0,0.8441558441558441
474,BEVATRON/,Hero,406,na,29,406.0,1.0
475,"BEYNON, DR. BRADLEY",Hero,66,na,12,66.0,1.0
476,BEYONDER,Villain,10282,na,237,27966.0,0.3676607308875063
477,BEYONDER | MUTANT X-,Villain,1455,na,61,1830.0,0.7950819672131147
478,B'GON,Hero,6,na,4,6.0,1.0
479,BIANDU,Hero,190,na,20,190.0,1.0
480,BI-BEAST,Villain,10,na,5,10.0,1.0
481,BI-BEAST II,Villain,1004,na,67,2211.0,0.45409317051108095
482,BIG BEN/,Hero,220,na,28,378.0,0.582010582010582
483,BIG BERTHA/ASHLEY CR,Hero,1025,na,59,1711.0,0.5990648743424898
484,BIG CASINO/,Hero,533,na,40,780.0,0.6833333333333333
485,"BIGGERS, MELVIN",Hero,55,na,11,55.0,1.0
486,BIG MAN/FREDERICK FO,Villain,1398,na,73,2628.0,0.5319634703196348
487,BIG ONE/KENJIRO SASA,Hero,236,na,23,253.0,0.932806324110672
488,BILE/,Hero,1449,na,55,1485.0,0.9757575757575757
489,"BILLUPS, AGENT",Hero,213,na,26,325.0,0.6553846153846153
490,BINARY/CAROL DANVERS,Hero,26533,na,541,146070.0,0.18164578626685834
491,BINARY | MUTANT X-VE,Hero,84,na,14,91.0,0.9230769230769231
492,BIOHAZARD,Villain,58,na,12,66.0,0.8787878787878788
493,BIOHAZARD II/FLETCHE,Villain,153,na,18,153.0,1.0
494,BIRDBRAIN,Hero,272,na,25,300.0,0.9066666666666666
495,BIRD MAN/HENRY HAWK,Hero,671,na,43,903.0,0.743078626799557
496,BIRD MAN III/,Hero,731,na,46,1035.0,0.706280193236715
497,"BIRD, TUESDAY",Hero,6,na,4,6.0,1.0
498,BIRDY,Hero,204,na,22,231.0,0.8831168831168831
499,BISHOP /,Hero,15002,na,366,66795.0,0.22459764952466502
500,BISON/BILLY KITSON,Hero,2231,na,82,3321.0,0.6717856067449564
501,BITMAP/,Hero,144,na,19,171.0,0.8421052631578947
502,BIZEN,Hero,10,na,5,10.0,1.0
503,"B'KOSA, GEN. JONATHA",Hero,33,na,9,36.0,0.9166666666666666
504,BLACK AVENGER/JERRY,Hero,78,na,13,78.0,1.0
505,BLACKBALL,Hero,861,na,42,861.0,1.0
506,BLACKBIRD/,Hero,830,na,42,861.0,0.9639953542392566
507,BLACKBODY,Hero,294,na,35,595.0,0.49411764705882355
508,BLACK BOLT/BLACKANTO,Villain,23648,na,462,106491.0,0.22206571447352358
509,BLACK BOLT | MUTANT,Villain,378,na,28,378.0,1.0
510,BLACK BRIGADE,Villain,383,na,35,595.0,0.6436974789915967
511,"BLACK, CAL",Hero,66,na,12,66.0,1.0
512,BLACK CAT/FELICIA HA,Villain,12852,na,306,46665.0,0.2754098360655738
513,BLACK CRANE/,Hero,99,na,18,153.0,0.6470588235294118
514,BLACK CROW/JESSE BLA,Hero,1528,na,81,3240.0,0.47160493827160493
515,"BLACK, CYRUS",Hero,42,na,10,45.0,0.9333333333333333
516,BLACK DEATH/DR. IVAN,Villain,21,na,7,21.0,1.0
517,BLACK FOX II/,Hero,505,na,41,820.0,0.6158536585365854
518,BLACK FOX/ROBERT W.,Hero,1270,na,81,3240.0,0.39197530864197533
519,BLACK GOLIATH/DR. WI,Hero,6932,na,191,18145.0,0.38203361807660513
520,BLACKHEART,Villain,463,na,44,946.0,0.4894291754756871
521,BLACK HOLE/MORTON KI,Villain,55,na,11,55.0,1.0
522,BLACKJACK/,Villain,391,na,35,595.0,0.6571428571428571
523,BLACK KING/SEBASTIAN,Hero,12798,na,308,47278.0,0.2706967299801176
524,BLACK KNIGHT III/EOB,Hero,520,na,38,703.0,0.7396870554765291
525,BLACK KNIGHT II/SIR,Hero,598,na,36,630.0,0.9492063492063492
526,BLACK KNIGHT IV DOPP,Hero,4005,na,90,4005.0,1.0
527,BLACK KNIGHT IV/PROF,Hero,5775,na,145,10440.0,0.5531609195402298
528,BLACK KNIGHT/SIR PER,Hero,2026,na,82,3321.0,0.6100572116832279
529,BLACK KNIGHT V/DANE,Hero,46419,na,744,276396.0,0.16794381973689923
530,BLACK KNIGHT V DOPPE,Hero,4201,na,93,4278.0,0.9820009350163628
531,BLACK KNIGHT VI/PROF,Hero,28,na,8,28.0,1.0
532,BLACK KNIGHT V STATU,Hero,1012,na,61,1830.0,0.5530054644808743
533,BLACK LAMA,Hero,170,na,22,231.0,0.7359307359307359
534,BLACK MAMBA/TANYA SE,Villain,5625,na,181,16290.0,0.3453038674033149
535,BLACK MARIAH,Villain,13,na,6,15.0,0.8666666666666667
536,BLACK MARVEL/DAN LYO,Hero,80,na,14,91.0,0.8791208791208791
537,BLACK MORAY,Hero,15,na,6,15.0,1.0
538,BLACK MOUNTAIN/KUROY,Hero,21,na,7,21.0,1.0
539,BLACKOUT II/,Villain,518,na,55,1485.0,0.3488215488215488
540,BLACKOUT/MARCUS DANI,Villain,1742,na,75,2775.0,0.6277477477477478
541,BLACK PANTHER | MUTA,Hero,1176,na,49,1176.0,1.0
542,BLACK PANTHER/T'CHAL,Hero,39224,na,728,264628.0,0.14822316610487174
543,BLACK RAAZER/,Hero,45,na,10,45.0,1.0
544,BLACK RACER/,Hero,1935,na,81,3240.0,0.5972222222222222
545,"BLACK, RACHEL",Hero,81,na,14,91.0,0.8901098901098901
546,BLACK RAZER,Hero,3,na,3,3.0,1.0
547,"BLACKSHEAR, JONAS",Hero,110,na,16,120.0,0.9166666666666666
548,BLACK SPECTRE/CARSON,Hero,106,na,16,120.0,0.8833333333333333
549,BLACK TALON/DESMOND,Villain,3,na,3,3.0,1.0
550,BLACK TALON III,Villain,3,na,3,3.0,1.0
551,BLACK TALON II/SAMUE,Villain,379,na,39,741.0,0.5114709851551957
552,BLACK TARANTULA II/C,Hero,879,na,61,1830.0,0.48032786885245904
553,BLACK TARANTULA/LAMU,Hero,66,na,12,66.0,1.0
554,BLACK TOM CASSIDY,Villain,3715,na,146,10585.0,0.350968351440718
555,BLACKWELL,Hero,15,na,6,15.0,1.0
556,BLACK WIDOW DOPPELGA,Villain,4005,na,90,4005.0,1.0
557,BLACK WIDOW II/YELEN,Hero,171,na,21,210.0,0.8142857142857143
558,BLACK WIDOW | MUTANT,Hero,120,na,16,120.0,1.0
559,BLACK WIDOW/NATASHA,Villain,50268,na,933,434778.0,0.11561762554683079
560,BLACKWING II/,Hero,180,na,20,190.0,0.9473684210526315
561,BLACKWING/JOSEPH MAN,Hero,3200,na,128,8128.0,0.3937007874015748
562,"BLACKWOOD, JENNY",Hero,15,na,6,15.0,1.0
563,BLACKWULF,Hero,63,na,12,66.0,0.9545454545454546
564,BLADE/,Hero,510,na,60,1770.0,0.288135593220339
565,"BLAIR, CALEY",Hero,30,na,9,36.0,0.8333333333333334
566,"BLAIRE, CARTER",Hero,1078,na,54,1431.0,0.753319357092942
567,"BLAKE, BECKY",Hero,1467,na,78,3003.0,0.4885114885114885
568,"BLAKE, DR. DONALD (C",Hero,627,na,42,861.0,0.7282229965156795
569,"BLAKE, DR. DONALD",Hero,222,na,22,231.0,0.961038961038961
570,"BLAKE, EMILY",Hero,6,na,4,6.0,1.0
571,"BLAKE, KENT",Hero,36,na,9,36.0,1.0
572,"BLANDING, ANDREW",Hero,10,na,5,10.0,1.0
573,"BLANDING, HALEY",Hero,10,na,5,10.0,1.0
574,"BLANDING, MRS.",Hero,10,na,5,10.0,1.0
575,BLAQUESMITH,Hero,3981,na,164,13366.0,0.2978452790662876
576,BLARE/,Hero,0,na,1,0.0,
577,BLASTAAR,Villain,3056,na,115,6555.0,0.4662090007627765
578,BLASTING CAP/,Villain,66,na,12,66.0,1.0
579,"BLAZE, CRAIG",Hero,133,na,19,171.0,0.7777777777777778
580,"BLAZE, EMMA",Hero,133,na,19,171.0,0.7777777777777778
581,"BLAZE, ROXANNE SIMPS",Hero,658,na,71,2485.0,0.2647887323943662
582,BLAZING SKULL/MARK T,Hero,121,na,17,136.0,0.8897058823529411
583,"BLESSING, MORGANA",Hero,703,na,61,1830.0,0.3841530054644809
584,BLIND AL/ALTHEA,Hero,321,na,38,703.0,0.4566145092460882
585,BLINDSIDE II/BOBBI C,Hero,153,na,18,153.0,1.0
586,"BLINK/FERGUSON, CLAR",Hero,55,na,11,55.0,1.0
587,"BLISS, BONNIE",Hero,36,na,9,36.0,1.0
588,"BLISS, MISS",Hero,253,na,23,253.0,1.0
589,BLISS,Hero,55,na,11,55.0,1.0
590,BLITZIANA,Hero,903,na,54,1431.0,0.6310272536687631
591,BLITZKRIEG/,Villain,9986,na,172,14706.0,0.6790425676594587
592,BLIZZARD II/DONALD G,Villain,1034,na,66,2145.0,0.48205128205128206
593,BLIZZARD/PROF. GREGO,Villain,945,na,62,1891.0,0.4997355896351137
594,BLOB/FRED J. DUKES,Villain,20722,na,442,97461.0,0.21261838068560757
595,BLOCKADE/DEXTER PARI,Hero,300,na,30,435.0,0.6896551724137931
596,BLOCKBUSTER/,Villain,32,na,10,45.0,0.7111111111111111
597,BLOCKBUSTER II,Villain,6,na,4,6.0,1.0
598,BLOCKBUSTER III/MICH,Villain,1399,na,62,1891.0,0.7398202009518773
599,BLOKE/MICKEY TORK,Hero,91,na,14,91.0,1.0
600,BLOK,Hero,36,na,9,36.0,1.0
601,BLOODAXE/JACKIE LUKU,Villain,2203,na,91,4095.0,0.537973137973138
602,BLOOD BROTHERS,Villain,3810,na,107,5671.0,0.6718391818021513
603,BLOODHOUND/,Hero,36,na,9,36.0,1.0
604,BLOODLUST,Villain,1135,na,59,1711.0,0.6633547632963179
605,BLOODSCREAM,Hero,390,na,43,903.0,0.4318936877076412
606,BLOODSHED/WYNDELL DI,Hero,6,na,4,6.0,1.0
607,BLOOD SPIDER/,Hero,66,na,12,66.0,1.0
608,BLOODSTONE/ULYSSES B,Hero,265,na,44,946.0,0.28012684989429176
609,BLOODSTORM | MUTANT,Hero,2371,na,125,7750.0,0.30593548387096775
